model,capacity,period,selected,observed_positive_selections,eligible_rows,horizon
core_logistic,0.05,2025-10,102,31,2021,later
core_logistic,0.05,2025-11,101,34,2017,later
core_logistic,0.05,2025-12,102,30,2022,later
core_logistic,0.1,2025-10,203,54,2021,later
core_logistic,0.1,2025-11,202,57,2017,later
core_logistic,0.1,2025-12,203,55,2022,later
core_logistic,0.2,2025-10,405,84,2021,later
core_logistic,0.2,2025-11,404,85,2017,later
core_logistic,0.2,2025-12,405,75,2022,later
decile,0.05,2025-10,102,25,2021,later
decile,0.05,2025-11,101,10,2017,later
decile,0.05,2025-12,102,20,2022,later
decile,0.1,2025-10,203,42,2021,later
decile,0.1,2025-11,202,30,2017,later
decile,0.1,2025-12,203,37,2022,later
decile,0.2,2025-10,405,63,2021,later
decile,0.2,2025-11,404,59,2017,later
decile,0.2,2025-12,405,66,2022,later
extended_logistic,0.05,2025-10,102,36,2021,later
extended_logistic,0.05,2025-11,101,32,2017,later
extended_logistic,0.05,2025-12,102,35,2022,later
extended_logistic,0.1,2025-10,203,56,2021,later
extended_logistic,0.1,2025-11,202,57,2017,later
extended_logistic,0.1,2025-12,203,51,2022,later
extended_logistic,0.2,2025-10,405,81,2021,later
extended_logistic,0.2,2025-11,404,84,2017,later
extended_logistic,0.2,2025-12,405,76,2022,later
core_logistic,0.05,2025-07,102,29,2025,six_month
core_logistic,0.05,2025-08,101,26,2012,six_month
core_logistic,0.05,2025-09,102,32,2038,six_month
core_logistic,0.05,2025-10,102,31,2021,six_month
core_logistic,0.05,2025-11,101,34,2017,six_month
core_logistic,0.05,2025-12,102,29,2022,six_month
core_logistic,0.1,2025-07,203,53,2025,six_month
core_logistic,0.1,2025-08,202,47,2012,six_month
core_logistic,0.1,2025-09,204,53,2038,six_month
core_logistic,0.1,2025-10,203,52,2021,six_month
core_logistic,0.1,2025-11,202,58,2017,six_month
core_logistic,0.1,2025-12,203,53,2022,six_month
core_logistic,0.2,2025-07,405,81,2025,six_month
core_logistic,0.2,2025-08,403,75,2012,six_month
core_logistic,0.2,2025-09,408,81,2038,six_month
core_logistic,0.2,2025-10,405,84,2021,six_month
core_logistic,0.2,2025-11,404,85,2017,six_month
core_logistic,0.2,2025-12,405,74,2022,six_month
decile,0.05,2025-07,102,18,2025,six_month
decile,0.05,2025-08,101,16,2012,six_month
decile,0.05,2025-09,102,17,2038,six_month
decile,0.05,2025-10,102,25,2021,six_month
decile,0.05,2025-11,101,10,2017,six_month
decile,0.05,2025-12,102,20,2022,six_month
decile,0.1,2025-07,203,35,2025,six_month
decile,0.1,2025-08,202,25,2012,six_month
decile,0.1,2025-09,204,37,2038,six_month
decile,0.1,2025-10,203,42,2021,six_month
decile,0.1,2025-11,202,30,2017,six_month
decile,0.1,2025-12,203,37,2022,six_month
decile,0.2,2025-07,405,66,2025,six_month
decile,0.2,2025-08,403,54,2012,six_month
decile,0.2,2025-09,408,68,2038,six_month
decile,0.2,2025-10,405,63,2021,six_month
decile,0.2,2025-11,404,59,2017,six_month
decile,0.2,2025-12,405,66,2022,six_month
extended_logistic,0.05,2025-07,102,31,2025,six_month
extended_logistic,0.05,2025-08,101,27,2012,six_month
extended_logistic,0.05,2025-09,102,38,2038,six_month
extended_logistic,0.05,2025-10,102,35,2021,six_month
extended_logistic,0.05,2025-11,101,31,2017,six_month
extended_logistic,0.05,2025-12,102,35,2022,six_month
extended_logistic,0.1,2025-07,203,56,2025,six_month
extended_logistic,0.1,2025-08,202,46,2012,six_month
extended_logistic,0.1,2025-09,204,59,2038,six_month
extended_logistic,0.1,2025-10,203,54,2021,six_month
extended_logistic,0.1,2025-11,202,55,2017,six_month
extended_logistic,0.1,2025-12,203,52,2022,six_month
extended_logistic,0.2,2025-07,405,85,2025,six_month
extended_logistic,0.2,2025-08,403,79,2012,six_month
extended_logistic,0.2,2025-09,408,87,2038,six_month
extended_logistic,0.2,2025-10,405,82,2021,six_month
extended_logistic,0.2,2025-11,404,84,2017,six_month
extended_logistic,0.2,2025-12,405,77,2022,six_month
